points : A
(-0.63119, 0.746654, 0.210016)1.5(0,0.7,0)
(-0.578748, 0.497469, 0.646201)1.5(1.,0,0)
(-0.253725, 0.00223197, 0.967274)1.5(0,0.7,0)
(-0.686916, 0.719036, 0.105521)1.5(1.,0,0)
(-0.82532, 0.0575205, -0.561728)1.5(0,0.7,0)
(0.861417, 0.318304, 0.395782)1.5(1.,0,0)
(-0.510542, 0.578147, -0.636469)1.5(1.,0,0)
(-0.786721, 0.49035, -0.375003)1.5(0,0.7,0)
(0.853439, -0.41392, -0.316722)1.5(1.,0,0)
(-0.661534, 0.428629, 0.615346)1.5(1.,0,0)
(0.61489, 0.296326, 0.730822)1.5(0,0.7,0)
(-0.37452, -0.538472, -0.75484)1.5(0,0.7,0)
(-0.68489, 0.477773, 0.550145)1.5(1.,0,0)
(-0.597851, -0.794036, 0.109912)1.5(0,0.7,0)
(-0.780635, -0.620697, -0.0731025)1.5(0,0.7,0)
(0.79698, 0.5882, 0.137274)1.5(0,0.7,0)
(-0.813431, -0.120799, -0.568979)1.5(0,0.7,0)
(0.667311, -0.712978, -0.21531)1.5(1.,0,0)
(-0.953672, 0.277536, 0.116116)1.5(0,0.7,0)
(0.354122, -0.93513, 0.01138)1.5(0,0.7,0)
(0.70353, 0.297432, 0.64543)1.5(1.,0,0)
(-0.651474, -0.344702, -0.675842)1.5(1.,0,0)
(0.703792, -0.0604874, 0.707826)1.5(1.,0,0)
(-0.688063, 0.213981, -0.693384)1.5(1.,0,0)
(-0.0992095, 0.687465, -0.719409)1.5(1.,0,0)
(0.753632, -0.401018, -0.52079)1.5(0,0.7,0)
(0.654144, -0.217059, -0.724556)1.5(1.,0,0)
(0.744529, 0.605434, -0.281294)1.5(0,0.7,0)
(-0.198083, 0.575924, 0.793142)1.5(0,0.7,0)
(0.710225, 0.658174, 0.249775)1.5(1.,0,0)
(0.842723, 0.250832, -0.476342)1.5(0,0.7,0)
(-0.790995, 0.596028, 0.138121)1.5(0,0.7,0)
(0.708425, -0.44968, -0.543987)1.5(1.,0,0)
(0.43661, 0.827606, 0.352761)1.5(1.,0,0)
(-0.333997, -0.0124413, -0.942492)1.5(0,0.7,0)
(0.825727, 0.384313, 0.41289)1.5(1.,0,0)
(0.380432, 0.606171, -0.698447)1.5(1.,0,0)
(0.136481, 0.660054, 0.738716)1.5(1.,0,0)
(0.21927, 0.435245, -0.873202)1.5(0,0.7,0)
(0.311846, 0.885735, -0.343839)1.5(1.,0,0)
(0.179384, -0.503344, -0.845261)1.5(0,0.7,0)
(-0.609273, 0.574407, 0.546666)1.5(1.,0,0)
(0.534728, -0.755351, -0.378828)1.5(0,0.7,0)
(-0.685926, -0.690404, 0.229886)1.5(1.,0,0)
(0.977763, 0.137776, -0.158104)1.5(1.,0,0)
(-0.407165, -0.900268, -0.154061)1.5(0,0.7,0)
(0.00309234, -0.891023, -0.453947)1.5(0,0.7,0)
(0.534854, -0.418261, 0.734159)1.5(0,0.7,0)
(0.725158, 0.589743, 0.355456)1.5(0,0.7,0)
(-0.32604, 0.724017, -0.607863)1.5(0,0.7,0)
(-0.83513, 0.548018, 0.0472748)1.5(0,0.7,0)
(0.172703, 0.718477, -0.673769)1.5(1.,0,0)
(0.847578, 0.347164, -0.401358)1.5(1.,0,0)
(-0.822816, 0.0105159, -0.56821)1.5(0,0.7,0)
(-0.444102, 0.8894, 0.108352)1.5(0,0.7,0)
(0.389011, -0.921061, -0.0178298)1.5(0,0.7,0)
(-0.380929, -0.010051, 0.92455)1.5(0,0.7,0)
(0.0417036, -0.529643, 0.847195)1.5(0,0.7,0)
(0.210559, 0.696034, -0.686441)1.5(1.,0,0)
(-0.739157, 0.310971, -0.597448)1.5(0,0.7,0)
(0.3208, 0.946888, -0.0221557)1.5(0,0.7,0)
(0.899799, -0.011269, -0.43616)1.5(0,0.7,0)
(0.882153, 0.16326, -0.44176)1.5(0,0.7,0)
(0.794024, 0.227985, -0.563514)1.5(0,0.7,0)
(-0.273958, -0.802527, 0.529998)1.5(0,0.7,0)
(0.681354, 0.168917, -0.712196)1.5(1.,0,0)
(-0.343383, -0.896195, 0.280933)1.5(1.,0,0)
(-0.590716, 0.556557, 0.584208)1.5(1.,0,0)
(0.225975, 0.516977, 0.825633)1.5(0,0.7,0)
(-0.750398, -0.57755, 0.321464)1.5(0,0.7,0)
(0.22064, -0.531956, -0.817521)1.5(0,0.7,0)
(-0.853986, 0.320112, -0.410167)1.5(1.,0,0)
(-0.654762, -0.480158, 0.583725)1.5(1.,0,0)
(0.700554, 0.710947, 0.0614756)1.5(1.,0,0)
(0.217166, 0.582837, 0.783032)1.5(0,0.7,0)
(-0.909166, 0.333208, -0.249779)1.5(1.,0,0)
(-0.436132, -0.643593, 0.628948)1.5(1.,0,0)
(-0.972996, -0.161909, 0.16451)1.5(1.,0,0)
(-0.578726, 0.14065, -0.803302)1.5(0,0.7,0)
(-0.355195, -0.733115, 0.579982)1.5(0,0.7,0)
(-0.712306, -0.420707, 0.561805)1.5(0,0.7,0)
(0.722151, 0.529213, 0.445458)1.5(1.,0,0)
(0.288269, -0.347442, 0.892292)1.5(1.,0,0)
(-0.513917, 0.688198, -0.512126)1.5(1.,0,0)
(-0.457573, 0.0774749, 0.88579)1.5(0,0.7,0)
(-0.728726, -0.683618, 0.0402979)1.5(1.,0,0)
